introduced_at_level,card_id,name,gold,aura,allowed_slot_types,cell_treatment_tags,cell_treatment_heals_inherited,cell_debuff_1,cell_debuff_2,capabilities,description
L6_MARK_SHARDING,S_REBALANCER,Перераспределитель Шардов,2,1,ST_QUOTA,Баланс,,Хрупкость,Горячий шард,,"Следит за размером шардов и перемещает данные, чтобы нагрузка распределялась равномерно."
L6_MARK_SHARDING,S_HOT_KEY_SPLITTER,Расщепитель Горячих Ключей,1,0,NET_ROUTING,Охлаждение,,,,,"Выносит горячие ключи в отдельные диапазоны, чтобы один шард не перегревался."
L6_MARK_SHARDING,S_SCHEMA_GUARD,Страж Схемы,3,1,ST_RETENTION,Согласованность,,Хрупкость,Горячий шард,,Проверяет что схема данных одинакова во всех шардах. Обнаружив расхождение — требует запустить миграцию.
L6_MARK_SHARDING,S_MIGRATION_DRY_RUN,Сухой Прогон Миграции,1,0,CD_TESTING,Проверка,D_REBALANCE_WINDOW | D_BACKFILL_UNVERIFIED,,,,"Прогоняет backfill и перераспределение на копии, прежде чем трогать живые шарды."
L6_MARK_SHARDING,S_REPLICATION_MANAGER,Управляющий Репликами,2,1,ST_RETENTION,Синхронность,,Хрупкость,Раскол кворума,,"Выравнивает данные между шардами через асинхронную репликацию. Схема сходится, но реплики поначалу отстают."
L6_MARK_SHARDING,S_QUORUM_KEEPER,Хранитель Кворума,2,0,NET_ROUTING,Кворум,,,,,"Назначает явный кворум записи, чтобы реплики не распались на две правды."
L6_MARK_SHARDING,S_REPLICA_SYNC,Синхронизатор Реплик,2,1,ST_QUOTA,Синхронность,,,,,"Принудительно догоняет отстающие реплики — задержка репликации устраняется, шарды снова согласованы."
L6_MARK_SHARDING,S_SHARD_FENCE,Ограда Шарда,2,1,NET_ROUTING,Изоляция | Равновесие,,Путаница,,,"Отрезает проблемный шард от входящего трафика — изоляция мгновенная, но шард перестаёт получать обновления."
L6_MARK_SHARDING,S_SHARD_PROBE,Зонд Шардов,2,1,NET_ROUTING,Живость,D_COLD_SHARD,,,,Регулярно опрашивает все шарды — обнаруживает замёрзшие шарды и возвращает их в строй.
L6_MARK_SHARDING,S_WRITE_AHEAD_LOG,Журнал Опережающей Записи,3,1,OBS_LOGS,Устойчивость | Ясность,,Переполнение,,HAS_LOGS (Широкое логирование),Фиксирует каждое изменение до его применения — при сбое систему можно восстановить из журнала.
L3_GENNADY_LIGHTHOUSE,S_LOCALITY_ROUTING,Карта Земель,8,1,NET_ROUTING,Равновесие,,,,HAS_STABLE_ROUTING (Стабильные маршруты),"Статическая таблица ближних врат: каждый посланник знает свой перекрёсток заранее. Дороже алгоритма, но предсказуема и не даёт побочных эффектов."
L6_MARK_SHARDING,S_POLICY_RESOLVER,Арбитр Печатей,3,0,NET_ROUTING,Арбитраж,,,,HAS_POLICY_RESOLVER (Арбитр конфликтов),Согласует конфликтующие политики маршрутизации
L2_GATEWAY_PASS,S_CICD,Ритуал Доставки,2,1,CD_PIPELINE,Доставка,D_NEEDS_MIGRATION,Хрупкость,,HAS_CICD (Пайплайн CI/CD),Автоматизирует доставку изменений в прод
L2_GATEWAY_PASS,S_ROLLBACK,Ключ Отката,2,1,CD_ROLLBACK,Откат,D_NEEDS_ROLLBACK,,,HAS_ROLLBACK (Откат изменений),Позволяет вернуться к предыдущей версии при сбое доставки
L2_LBAAS_FAIR_GATE,S_MR_GATES,Страж Врат MR,2,1,CD_GATES,Проверка,,,,HAS_MR_GATES (Гейты на влитие),Запрещает деплой без проверенного MR
L5_KIRA_API,S_API_CICD,Ритуал API-доставки,2,1,CD_PIPELINE,Доставка,D_NEEDS_MIGRATION,Хрупкость,Непроверенный релиз,HAS_CICD (Пайплайн CI/CD),Автоматизирует выкладку партнёрского API и вскрывает обязательные release-хвосты
L5_KIRA_API,S_API_MR_GATES,Страж Врат API,2,1,CD_GATES,Проверка | Совместимость,,Разъезд контрактов,,HAS_MR_GATES (Гейты на влитие),Запрещает деплой партнёрского API без проверенного MR и вскрывает контрактный хвост
L5_KIRA_API,S_CONTRACT_TESTS,Испытания Договоров,1,0,CD_TESTING,Совместимость,,,,HAS_CONTRACT_TESTS (Контрактные тесты),Проверяет партнёрские API-контракты перед релизом
L7_EDWARD_MULTIDC,S_GLOBAL_HEALTHCHECK,Глобальное Сердцебиение,2,1,NET_DISCOVERY,Надёжность,D_FAILOVER_LOOP | D_NEEDS_HEALTHCHECK,Хрупкость,,HAS_HEALTHCHECK (Проверка здоровья) | HAS_FAILOVER (Аварийное переключение),Проверяет оба дата-центра из внешнего контура и останавливает петлю взаимного failover.
L7_EDWARD_MULTIDC,S_REGION_RECONCILER,Сверщик Регионов,2,0,CD_GATES,Согласованность,,,,HAS_REGION_RECONCILE (Сверка регионов),Сравнивает настройки двух дата-центров перед релизом и вскрывает drift контрактов между регионами.
L7_EDWARD_MULTIDC,S_MULTI_REGION_DRILL,Учение Двух Обелисков,2,0,CD_TESTING,Проверка,D_UNTESTED_FAILOVER,,,HAS_DR_DRILL (Учение аварийного переключения),Прогоняет аварийное переключение и сверку региональных контрактов на копии до настоящего отказа.
L7_EDWARD_MULTIDC,S_CAPACITY_MIRROR,Зеркало Ёмкости,2,0,ST_RETENTION,Резерв,,Переполнение,,HAS_RESERVE_CAPACITY (Резервная ёмкость),"Выравнивает резервную ёмкость между дата-центрами, но требует общих квот на зеркале."
