kind,id,name,allowed_slot_types,gold,aura,aura_limit_delta,unique,treatment_tags,legacy_buffs,adds_debt_ids,adds_symptoms,resolves_debt_ids,capabilities_granted,description
spell,S_TRAFFIC_SPLIT,Весы Потоков,NET_ROUTING,2,1,,yes,Равновесие | Охлаждение,,D_SPLIT_OVERLOAD,🕸️ Хрупкость,,HAS_TRAFFIC_SPLIT (Разделение трафика) | HAS_STABLE_ROUTING (Стабильные маршруты),Распределяет трафик по весам между эндпоинтами
spell,S_HASH_ROUTING,Якорь Сессии,NET_ROUTING,4,1,,yes,Привязка | Равновесие,,,,,HAS_HASH_ROUTING (Хэш-роутинг),"Явная таблица привязки: каждый посланник закреплён за конкретным узлом. Дороже, но без автоматики и без каскадных эффектов."
spell,S_SHARD_KEY,Ключ Шардирования,NET_ROUTING,3,1,,yes,Распределение | Равновесие,,D_SHARD_IMBALANCE,⚗️ Переполнение,,HAS_HASH_ROUTING (Хэш-роутинг),Задаёт алгоритм распределения свитков по шардам. Голуби знают куда лететь — но шарды начинают расти неравномерно.
spell,S_REBALANCER,Перераспределитель Шардов,ST_QUOTA,2,1,,yes,Баланс,,D_REBALANCE_WINDOW | D_HOT_PARTITION,🕸️ Хрупкость | 🔥 Горячий шард,,,"Следит за размером шардов и перемещает данные, чтобы нагрузка распределялась равномерно."
spell,S_HOT_KEY_SPLITTER,Расщепитель Горячих Ключей,NET_ROUTING,1,0,,yes,Охлаждение,,,,,,"Выносит горячие ключи в отдельные диапазоны, чтобы один шард не перегревался."
spell,S_SCHEMA_GUARD,Страж Схемы,ST_RETENTION,3,1,,yes,Согласованность,,D_NEEDS_MIGRATION | D_BACKFILL_UNVERIFIED,🕸️ Хрупкость | 🔥 Горячий шард,,,Проверяет что схема данных одинакова во всех шардах. Обнаружив расхождение — требует запустить миграцию.
spell,S_MIGRATION_DRY_RUN,Сухой Прогон Миграции,CD_TESTING,1,0,,yes,Проверка,,,,D_REBALANCE_WINDOW | D_BACKFILL_UNVERIFIED,,"Прогоняет backfill и перераспределение на копии, прежде чем трогать живые шарды."
spell,S_REPLICATION_MANAGER,Управляющий Репликами,ST_RETENTION,2,1,,yes,Синхронность,,D_REPLICATION_LAG | D_SPLIT_BRAIN,🕸️ Хрупкость | 🧠 Раскол кворума,,,"Выравнивает данные между шардами через асинхронную репликацию. Схема сходится, но реплики поначалу отстают."
spell,S_QUORUM_KEEPER,Хранитель Кворума,NET_ROUTING,2,0,,yes,Кворум,,,,,,"Назначает явный кворум записи, чтобы реплики не распались на две правды."
spell,S_REPLICA_SYNC,Синхронизатор Реплик,ST_QUOTA,2,1,,yes,Синхронность,,,,,,"Принудительно догоняет отстающие реплики — задержка репликации устраняется, шарды снова согласованы."
spell,S_SHARD_FENCE,Ограда Шарда,NET_ROUTING,2,1,,yes,Изоляция | Равновесие,,D_COLD_SHARD,🪰 Путаница,,,"Отрезает проблемный шард от входящего трафика — изоляция мгновенная, но шард перестаёт получать обновления."
spell,S_SHARD_PROBE,Зонд Шардов,NET_ROUTING,2,1,,yes,Живость,,,,D_COLD_SHARD,,Регулярно опрашивает все шарды — обнаруживает замёрзшие шарды и возвращает их в строй.
spell,S_WRITE_AHEAD_LOG,Журнал Опережающей Записи,OBS_LOGS,3,1,,yes,Устойчивость | Ясность,,D_LOG_VOLUME,⚗️ Переполнение,,HAS_LOGS (Широкое логирование),Фиксирует каждое изменение до его применения — при сбое систему можно восстановить из журнала.
spell,S_LOCALITY_ROUTING,Карта Земель,NET_ROUTING,8,1,,yes,Равновесие,,,,,HAS_STABLE_ROUTING (Стабильные маршруты),"Статическая таблица ближних врат: каждый посланник знает свой перекрёсток заранее. Дороже алгоритма, но предсказуема и не даёт побочных эффектов."
spell,S_POLICY_RESOLVER,Арбитр Печатей,NET_ROUTING,3,0,,yes,Арбитраж,,,,,HAS_POLICY_RESOLVER (Арбитр конфликтов),Согласует конфликтующие политики маршрутизации
spell,S_CICD,Ритуал Доставки,CD_PIPELINE,2,1,,yes,Доставка,,D_NEEDS_ROLLBACK,🕸️ Хрупкость,D_NEEDS_MIGRATION,HAS_CICD (Пайплайн CI/CD),Автоматизирует доставку изменений в прод
spell,S_ROLLBACK,Ключ Отката,CD_ROLLBACK,2,1,,yes,Откат,,,,D_NEEDS_ROLLBACK,HAS_ROLLBACK (Откат изменений),Позволяет вернуться к предыдущей версии при сбое доставки
spell,S_MR_GATES,Страж Врат MR,CD_GATES,2,1,,yes,Проверка,,,,,HAS_MR_GATES (Гейты на влитие),Запрещает деплой без проверенного MR
spell,S_API_CICD,Ритуал API-доставки,CD_PIPELINE,2,1,,yes,Доставка,,D_NEEDS_ROLLBACK | D_NO_REVIEW_GATES,🕸️ Хрупкость | 🚪 Непроверенный релиз,D_NEEDS_MIGRATION,HAS_CICD (Пайплайн CI/CD),Автоматизирует выкладку партнёрского API и вскрывает обязательные release-хвосты
spell,S_API_MR_GATES,Страж Врат API,CD_GATES,2,1,,yes,Проверка | Совместимость,,D_PARTNER_CONTRACT_DRIFT,📜 Разъезд контрактов,,HAS_MR_GATES (Гейты на влитие),Запрещает деплой партнёрского API без проверенного MR и вскрывает контрактный хвост
spell,S_CONTRACT_TESTS,Испытания Договоров,CD_TESTING,1,0,,yes,Совместимость,,,,,HAS_CONTRACT_TESTS (Контрактные тесты),Проверяет партнёрские API-контракты перед релизом
spell,S_GLOBAL_HEALTHCHECK,Глобальное Сердцебиение,NET_DISCOVERY,2,1,,yes,Надёжность,,D_UNTESTED_FAILOVER,🕸️ Хрупкость,D_FAILOVER_LOOP | D_NEEDS_HEALTHCHECK,HAS_HEALTHCHECK (Проверка здоровья) | HAS_FAILOVER (Аварийное переключение),Проверяет оба дата-центра из внешнего контура и останавливает петлю взаимного failover.
spell,S_REGION_RECONCILER,Сверщик Регионов,CD_GATES,2,0,,yes,Согласованность,,,,,HAS_REGION_RECONCILE (Сверка регионов),Сравнивает настройки двух дата-центров перед релизом и вскрывает drift контрактов между регионами.
spell,S_MULTI_REGION_DRILL,Учение Двух Обелисков,CD_TESTING,2,0,,yes,Проверка,,,,D_UNTESTED_FAILOVER,HAS_DR_DRILL (Учение аварийного переключения),Прогоняет аварийное переключение и сверку региональных контрактов на копии до настоящего отказа.
spell,S_CAPACITY_MIRROR,Зеркало Ёмкости,ST_RETENTION,2,0,,yes,Резерв,,D_MIRROR_QUOTA_GAP,⚗️ Переполнение,,HAS_RESERVE_CAPACITY (Резервная ёмкость),"Выравнивает резервную ёмкость между дата-центрами, но требует общих квот на зеркале."
obryad,R_ONBOARDING,Свиток Наставлений,RITUAL_OBS,1,-2,,yes,Изоляция,,,,,,"Обязательный онбординг сотрудников. Стоит монеты, но снижает операционный риск работы с чувствительными данными. Организационная мера, заменяющая технический контроль доступа."
obryad,R_LIBRARY_GRANT,Академический Грант,RITUAL_ST | RITUAL_OBS,-2,-1,,yes,,,,,,,Академия субсидирует стандартные решения. Чистые монеты — никакого дополнительного риска.
obryad,R_PATRON_SEAL,Печать Мецената,RITUAL_NET | RITUAL_CD,-2,1,2,yes,,,,,,,"Меценат доплачивает за сетевую и доставочную инфраструктуру. Субсидия есть, и он слегка повышает твой допустимый предел риска — но это не значит, что рисковать безопасно."
obryad,R_AI_BUFF,Печать Прогресса,RITUAL_OBS | RITUAL_ST | RITUAL_NET | RITUAL_CD,-2,3,,yes,,,,,,,"Астрологи провозгласили неделю ИИ. Скажи князю, что в конструкте стоит ИИ — вернёт 3 монеты. Но обещание без основания — это риск."
obryad,R_GUARD_TO_BAR,Стражника в бар,RITUAL_NET,2,-2,,yes,Чистота,,,,,,Стража становится сговорчивее. Некому следить за объёмом — проблема снята.
obryad,R_CANARY,Канарейка в шахте,RITUAL_OBS,1,-1,,yes,,,,,,,"Раннее предупреждение о проблемах. Дёшево, эффективно, незаметно."
obryad,R_LOG_ARCHIVE,Архивация Хроник,RITUAL_OBS,2,-2,,yes,Чистота,,,,,,Ротирует и сжимает логи доступа — объём перестаёт расти.
obryad,R_ROUTING_DECREE,Указ Перекрёстка,RITUAL_OBS,2,2,,yes,Порядок | Согласование | Живость,,,,,HAS_STABLE_ROUTING (Стабильные маршруты) | HAS_FAILOVER (Аварийное переключение) | HAS_DISCOVERY (Сервис-дискавери),"Геннадий подписывает договор с посланниками: каждый маршрут закреплён, живые узлы известны по имени. Без алгоритмов — только слово и договор."
