preset_id,matrix_id,matrix_name,preset_name,description,default_install_cost_gold,slot_count,slot_type_1,slot_type_2,slot_type_3,slot_type_4,slot_type_5,used_by_level_instances
MP_NET_GATE_BASIC,M_CONNECTIVITY,Матрица Связей,Базовый шлюз,"Простой периметр: AuthZ, TLS и ритуальный слот.",1,3,NET_AUTH,NET_TLS,RITUAL_NET,,,L4_ANASTASIA_GOLDEN:net_l4_lite | L5_KIRA_API:net_l5
MP_NET_AUTH_ONLY,M_CONNECTIVITY,Матрица Связей,Калитка с печатью,Минимальный сетевой контур: только AuthZ и ритуальный слот.,2,2,NET_AUTH,RITUAL_NET,,,,L2_KESHA_CACHE:net_l2
MP_NET_RELIABILITY,M_CONNECTIVITY,Матрица Связей,Контур надёжности,AuthZ и два discovery-слота под локатор и healthcheck.,2,4,NET_AUTH,NET_DISCOVERY,NET_DISCOVERY,RITUAL_NET,,L5_KIRA_API:resilience_l5
MP_NET_EDGE,M_CONNECTIVITY,Матрица Связей,Край Обелисков,"Полный периметр: AuthZ, TLS, два discovery-слота и ритуальный слот.",2,5,NET_AUTH,NET_TLS,NET_DISCOVERY,NET_DISCOVERY,RITUAL_NET,L4_ANASTASIA_GOLDEN:net_l4 | L7_EDWARD_MULTIDC:edge_l7 | L3_NEW_CASTLE:net3
MP_NET_EDGE_ROUTING,M_CONNECTIVITY,Матрица Связей,Шлюз с роутингом,Периметр плюс отдельный routing-слот для классификации трафика.,2,5,NET_AUTH,NET_TLS,NET_DISCOVERY,NET_DISCOVERY,NET_ROUTING,L2_GATEWAY_PASS:net_pass
MP_NET_INFRA_POST,M_CONNECTIVITY,Матрица Связей,Инфраструктурный пост,"DNS-резолвер, TLS, два discovery-слота и ритуальный слот.",1,5,NET_DNS,NET_TLS,NET_DISCOVERY,NET_DISCOVERY,RITUAL_NET,L3_GENNADY_LIGHTHOUSE:net_l3_infra | L2_LBAAS_FAIR_GATE:net1
MP_NET_POSTAL,M_CONNECTIVITY,Матрица Связей,Почтовая станция,DNS и пара routing-слотов — для распределения по маршрутам.,2,4,NET_DNS,NET_ROUTING,NET_ROUTING,RITUAL_NET,,L3_GENNADY_LIGHTHOUSE:net_l3_relay
MP_NET_TRAFFIC,M_CONNECTIVITY,Матрица Связей,Весы Трафика,Routing и discovery в одной матрице — лёгкий альтернативный контур.,1,3,NET_ROUTING,NET_DISCOVERY,RITUAL_NET,,,L7_EDWARD_MULTIDC:traffic_l7
MP_NET_SHARD_ROUTING,M_CONNECTIVITY,Матрица Связей,Маршрутизатор Шардов,Два routing-слота для разных законов маршрутизации и ритуал.,2,3,NET_ROUTING,NET_ROUTING,RITUAL_NET,,,L6_MARK_SHARDING:net_l6
MP_NET_ROUTING_STAND,M_CONNECTIVITY,Матрица Связей,Стойка маршрутов,"Три routing-слота, AuthZ и ритуал — для тяжёлых маршрутных задач.",2,5,NET_ROUTING,NET_ROUTING,NET_ROUTING,NET_AUTH,RITUAL_NET,L3_GENNADY_LIGHTHOUSE:net_l3_routing
MP_NET_ROUTING_ONLY,M_CONNECTIVITY,Матрица Связей,Голый маршрут,Один routing-слот без обвязки — самый маленький сетевой контур.,2,1,NET_ROUTING,,,,,L1_LIBRARY_ORBS:net1
MP_DELIVERY_FULL,M_DELIVERY,Матрица Копирования,Конвейер доставки,"Полный delivery-контур: pipeline, gates, testing, rollback и ритуал.",1,5,CD_PIPELINE,CD_GATES,CD_TESTING,CD_ROLLBACK,RITUAL_CD,L5_KIRA_API:cd_l5 | L7_EDWARD_MULTIDC:release_l7
MP_DELIVERY_GATES,M_DELIVERY,Матрица Копирования,Гейтовый конвейер,Pipeline + gates + rollback — без отдельного testing-слота.,0,3,CD_PIPELINE,CD_GATES,CD_ROLLBACK,,,L2_LBAAS_FAIR_GATE:cd1 | L3_NEW_CASTLE:cd3
MP_DELIVERY_TESTING,M_DELIVERY,Матрица Копирования,Конвейер Миграций,Pipeline + testing + rollback + ритуал — для рискованных миграций.,1,4,CD_PIPELINE,CD_TESTING,CD_ROLLBACK,RITUAL_CD,,L6_MARK_SHARDING:cd_l6
MP_DELIVERY_MINIMAL,M_DELIVERY,Матрица Копирования,Малый конвейер,Только pipeline и rollback — минимально жизнеспособный delivery-контур.,2,2,CD_PIPELINE,CD_ROLLBACK,,,,L2_GATEWAY_PASS:cd_pass
