level_id,level_name,status_id,status_name,fail_text,advice
L7_EDWARD_MULTIDC,Ковчеги Эдуарда,F16_CAPACITY_GAP,Провал резерва,Резервный дата-центр не держит полный поток: отказ первого превращается в переполнение второго.,Добавь `S_CAPACITY_MIRROR` и закрой появившийся `D_MIRROR_QUOTA_GAP` квотами.
L1_LIBRARY_ORBS,Шар Поиска Фолиантов,F1_OVERFLOW,Переполнение,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
L1_LIBRARY_ORBS,Шар Поиска Фолиантов,F4_BLINDNESS,Слепота,Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
L2_GATEWAY_PASS,Врата для посланников,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L2_GATEWAY_PASS,Врата для посланников,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L2_GATEWAY_PASS,Врата для посланников,F4_BLINDNESS,Слепота,Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
L2_LBAAS_FAIR_GATE,Служба Врат для ярмарки,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L2_LBAAS_FAIR_GATE,Служба Врат для ярмарки,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L2_LBAAS_FAIR_GATE,Служба Врат для ярмарки,F1_OVERFLOW,Переполнение,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
L3_NEW_CASTLE,Новый Замок с нуля,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L3_NEW_CASTLE,Новый Замок с нуля,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L3_NEW_CASTLE,Новый Замок с нуля,F4_BLINDNESS,Слепота,Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
L3_NEW_CASTLE,Новый Замок с нуля,F6_NONDELIVERY,Недоставка,Ритуал доставки каждый раз выходит по‑разному — воспроизвести нельзя.,Настрой воспроизводимый контур доставки с откатом и гейтами.
